Gender,age,total,defaults,default_rate
Female,<25,199,57,0.2864
Joint,<25,257,55,0.2140
Male,<25,502,158,0.3147
Unknown,<25,209,69,0.3301
Female,25-34,2655,617,0.2324
Joint,25-34,5071,834,0.1645
Male,25-34,5956,1398,0.2347
Unknown,25-34,3123,868,0.2779
Female,35-44,4713,1116,0.2368
Joint,35-44,8508,1387,0.1630
Male,35-44,9065,2114,0.2332
Unknown,35-44,6397,1724,0.2695
Female,45-54,5680,1401,0.2467
Joint,45-54,8245,1549,0.1879
Male,45-54,8843,2230,0.2522
Unknown,45-54,7529,2050,0.2723
Female,55-64,5767,1443,0.2502
Joint,55-64,7341,1526,0.2079
Male,55-64,7312,2087,0.2854
Unknown,55-64,8034,2257,0.2809
Female,65-74,3643,967,0.2654
Joint,65-74,5091,1088,0.2137
Male,65-74,3923,1190,0.3033
Unknown,65-74,5409,1545,0.2856
Female,>74,1246,377,0.3026
Joint,>74,1727,423,0.2449
Male,>74,1408,486,0.3452
Unknown,>74,1924,600,0.3119
Unknown,Unknown,173,173,1.0000
